Question,Answer
How can candidates check their merit ranks and counseling schedules?,ACPC typically publishes merit lists and counseling schedules on its official website.
What is the procedure for withdrawing from the ACPC admission process?,Candidates can withdraw from the admission process by submitting a withdrawal request along with the necessary documents to ACPC.
Is there any provision for revaluation of exam papers for ACPC admissions?,"No, ACPC does not entertain requests for revaluation of exam papers. Candidates need to accept their scores as final."
Explain the role of the merit list in the ACPC admission process and how it is prepared.,"The merit list plays a crucial role in the ACPC admission process as it ranks candidates based on their performance in qualifying exams such as JEE Main, GUJCET, etc. The merit list is prepared by ACPC according to the prescribed criteria, which typically include factors such as marks obtained, reservation category, and other eligibility criteria. Candidates with higher ranks in the merit list have better chances of securing admission to their preferred colleges and courses."
Discuss the procedure for resolving disputes or grievances related to ACPC admissions.,ACPC has a designated mechanism for resolving disputes or grievances related to admissions. Candidates who have any grievances or complaints can submit a written application to ACPC along with supporting documents within the specified time frame. ACPC reviews the application and conducts an investigation to address the grievance. The decision of ACPC regarding dispute resolution is final and binding.
Explain the concept of cutoff marks in the context of ACPC admissions and how they are determined.,"Cutoff marks refer to the minimum marks required by candidates to be eligible for admission to a particular college or course through ACPC. Cutoff marks are determined based on various factors such as the number of available seats, the number of applicants, reservation category, difficulty level of the entrance exam, etc. Colleges may set their own cutoff marks based on these factors, and candidates need to meet or exceed the cutoff marks to be considered for admission."
Discuss the procedure for counseling fee refund in case of withdrawal from ACPC counseling.,"Candidates who withdraw from ACPC counseling are eligible for a refund of the counseling fee paid, subject to certain conditions. To claim the refund, candidates need to submit a refund request to ACPC along with supporting documents within the specified time frame. ACPC verifies the request and processes the refund accordingly. The refund amount and timeline may vary depending on the terms and conditions specified by ACPC."
Explain the role of the waiting list in ACPC admissions and how it works.,The waiting list is a list of candidates who are placed on standby for admission to a particular college or course in case of vacancies. Candidates on the waiting list are considered for admission if seats remain unfilled after the completion of counseling rounds. The waiting list is prepared based on the merit rank of candidates and their choice preferences. Candidates on the waiting list should regularly check for updates from ACPC regarding seat vacancies and follow the instructions provided to secure admission if their name is cleared from the waiting list.
Explain the process of seat allocation in ACPC counseling and the factors influencing it.,"Seat allocation in ACPC counseling involves the systematic distribution of available seats in various colleges and courses to eligible candidates based on their merit ranks and preferences. The process typically unfolds in the following manner: Merit Rank: Candidates' merit ranks, obtained from qualifying exams like JEE Main, GUJCET, etc., serve as the primary criterion for seat allocation. Higherranked candidates are given priority in seat allocation. Choice Preferences: Candidates are required to fill out their choice preferences for colleges and courses during counseling. ACPC considers these preferences along with the merit ranks to allocate seats accordingly. Availability of Seats: The availability of seats in different colleges and courses plays a crucial role in seat allocation. ACPC considers the number of vacant seats, category-wise reservations, and other factors while allocating seats. Category-wise Reservations: ACPC adheres to reservation policies mandated by the government, which include quotas for categories such as SC, ST, SEBC, EWS, and PH. Seats are allocated based on these reservations to eligible candidates. Counselling Rounds: ACPC conducts multiple rounds of counseling to accommodate candidates' preferences and fill vacant seats. Candidates who are not allotted seats in earlier rounds may have the opportunity to participate in subsequent rounds. Reporting and Confirmation: Once seats are allocated, candidates need to report to the allotted college within the specified time frame to confirm their admission. Failure to do so may result in forfeiture of the allotted seat. Factors influencing seat allocation include candidates' merit ranks, choice preferences, availability of seats, reservation policies, and participation in counseling rounds. The process aims to ensure fairness, transparency, and merit-based allocation of seats to deserving candidates."
"Can candidates modify their choice preferences after locking them during ACPC counseling? If yes, how?","Yes, candidates can modify their choice preferences even after locking them during ACPC counseling. The process typically involves: Logging in to the ACPC website using their credentials. Accessing the choice filling section and selecting the option to edit choices. Making the necessary modifications to their preferences by adding, removing, or rearranging colleges and courses. After making the changes, candidates must save the modifications and re-lock their choices within the specified deadline to ensure that the updated preferences are considered for seat allotment."
Will there be any PIN distribution this time like previous?,"As a part of registration, candidate needs to pay registration fees ONLINE through Credit Card/ Net Banking/ UPI interfaces instead of PIN."
"Do I need to register differently for different courses like Civil, Mech, Electrical, etc.…...?",No. You do not require to register differently for different courses.
What documents are needed to register or create a profile?,"You need following documents (in electronic form/ scan/ .pdf/ .jpeg) ready for smooth registration. (1) Passport size Photograph (100 kb or lower) (.jpeg format) (2) Birth Date Proof/ School Leaving certificate/ Aadhar Card (200kb or lower) (.pdf format) (3) Scan copy / internet copy of SSC mark sheet (200kb or lower) (.pdf format) Note: For more than 1 attempt, all attempt mark sheets should be in a single pdf. (4) Scan copy of valid Income certificate, if eligible for TFWs (200kb or lower) (.pdf format) (5) Scan copy of All semester ITI Mark sheets, if applicable (300kb or lower) (.pdf format) Note: All semester ITI Mark sheets should be in a single pdf. (6) Scan copy of All semester TEB Mark sheets, if applicable (300kb or lower) (.pdf format) Note: All semester TEB Mark sheets should be in a single pdf. (7) Scan copy of valid Caste certificate, if applicable (200kb or lower) (.pdf format) Note: For the SEBC category, a Non-Creamy Layer Certificate is also required. If the validity of the NCL certificate is expired then submit an undertaking for an extension letter of NCL (sample format is available on the website: https://acpdc.gujarat.gov.in/). All should be in a single pdf. (200kb or lower) (.pdf format). (8) Scan copy of valid In-serviceman / Exserviceman certificate, if applicable (200kb or lower) (.pdf format) (9) Scan copy of valid PH certificate, if applicable (200kb or lower) (.pdf format) (10) Scan copy of the Economically Weaker Section (EWS) certificate, if applicable (200kb or lower) (.pdf format). If validity of EWS certificate is expired then submit undertaking for extension letter of EWS (sample format is available on website: https://acpdc.gujarat.gov.in/)."
When I can say my registration is complete?,"After creating a profile and entering all necessary details, you have to upload all relevant documents. Finally, you have to pay the online registration fee, only after that, your registration is complete."
How much is the registration fee?,"For one Registration, the fee is 250/- rupees this year."
Will I definitely get admission if I complete the registration within the specified time limit?,"If you will: · Follow all the other necessary processes within the specified time limit · Merit number is allotted to you and · If your choice of seat for admission will available according to your merit Then, only you will get admission."
